노래제목,가수,가사,요약,카테고리,
아버지,인순이,한걸음도 다가 설 수 없었던 내 마음을 알아 주기를 얼마나 바라고 바래 왔는지 눈물이 말해 준다 점점 멀어져 가버린 쓸쓸했던 뒷모습에 내 가슴이 다시 아파온다 서로 사랑을 하고 서로 미워도 하고 누구보다 아껴주던 그대가 보고싶다 가까이에 있어도 다가서지 못했던 그래 내가 미워 했었다 점점 멀어져 가버린 쓸쓸했던 뒷모습에 내 가슴이 다시 아파온다 서로 사랑을 하고 서로 미워도 하고 누구보다 아껴주던 그대가 보고싶다 가까이에 있어도 다가서지 못했던 그래 내가 미워 했었다 제발 내 얘길 들어주세요 시간이 필요해요 서로 사랑을 하고 서로 미워도 하고 누구보다 아껴주던 그대가 보고싶다 가슴 속 깊은 곳에 담아두기만 했던 그래 내가 사랑 했었다 긴 시간이 지나도 말하지 못했었던 그래 내가 사랑 했었다,서로를 사랑하면서도 이해하지 못하고 미워하던 감정을 토로하는 노래.,가족,관계
엄마가 딸에게 (Feat. 김규리) (Original Ver.),양희은,난 잠시 눈을 붙인 줄만 알았는데 벌써 늙어 있었고 넌 항상 어린 아이일 줄만 알았는데 벌써 어른이 다 되었고 난 삶에 대해 아직도 잘 모르기에 너에게 해줄 말이 없지만 네가 좀 더 행복해지기를 원하는 마음에 내 가슴 속을 뒤져 할 말을 찾지 공부해라 아냐 그건 너무 교과서야 성실해라 나도 그러지 못했잖아 사랑해라 아냐 그건 너무 어려워 너의 삶을 살아라 난 한참 세상 살았는 줄만 알았는데 아직 열다섯이고 난 항상 예쁜 딸로 머물고 싶었지만 이미 미운 털이 박혔고 난 삶에 대해 아직도 잘 모르기에 알고픈 일들 정말 많지만 엄만 또 늘 같은 말만 되풀이하며 내 마음의 문을 더 굳게 닫지 공부해라 그게 중요한 건 나도 알아 성실해라 나도 애쓰고 있잖아요 사랑해라 더는 상처받고 싶지 않아 나의 삶을 살게 해줘 공부해라 아냐 그건 너무 교과서야 성실해라 나도 그러지 못했잖아 사랑해라 아냐 그건 너무 어려워 너의 삶을 살아라 내가 좀 더 좋은 엄마가 되지 못했던 걸 용서해줄 수 있겠니 넌 나보다는 좋은 엄마가 되겠다고 약속해주겠니 랄 라랄 라랄 라랄 라랄 라랄랄라 라라 라랄 라라 랄 라랄 라랄 라랄 라랄 라랄랄라 라라 라랄 라라 라랄라 랄 라랄 라랄 라랄 라랄 라랄랄라 라라 라랄 라라 랄 라랄 라랄 라랄 라랄 라랄랄라 라라 라랄 라라 라랄라 랄 라랄 라랄 라랄 라랄 라랄랄라 라라 라랄 라라,엄마와 딸 간의 소중한 연결과 성장에 대한 노래.,가족,관계
어머니,인순이,"사랑만을 처음으로 내게 준 사람
눈감아도 나만 걱정 해준 한 사람
바보라서 항상 곁에 있을 같아
그 가슴이 찢어진걸 몰랐죠
소리 내어 미안하다 울었습니다
사랑한다 말도 못한 나였습니다

바보라서 다른 날이 많을 같아
사랑한다 말을 미룬 나라서
엄마 나를 너무 사랑한 사람
엄마 내가 해준 게 없는 사람
그 사랑 안에서
너무 행복한걸 몰라서
나만 알고 나만 사랑했던 날
용서해요
가누지 못한 날 안고 살아온 사
모든걸 다 내게 주고 싶어한 사람
바보라서 항상 곁에 있을 같아
사랑한다 말을 못한 나라서
엄마 나를 너무 사랑한 사람
엄마 내가 해준 게 없는 사람
그 사랑 안에서
너무 행복한걸 몰라서
나만 알고 나만 사랑했던 날
용서해요
내가 너무 아파서
하늘 엄말 부른다
대답조차 들을 수 없는데
보고 싶어 또 불러본다
눈물이 날 안고 운다 운다
엄마 엄마
엄마 내가 너무 사랑한 사람
엄마 내가 해준 게 없는 사람
그 사랑 안에서
너무 행복한걸 몰라서
나만 알고 나만 사랑했던 날
용서해요",어머니에 대한 애정과 감사의 마음을 노래,가족과의 관계,관계
아버지,인순이,"한걸음도 다가설 수 없었던
내 마음을 알아주기를
얼마나 바라고 바래왔는지
눈물이 말해 준다
점점 멀어져가버린
쓸쓸했던 뒷모습에
내 가슴이 다시 아파온다
서로 사랑을 하고 서로 미워도 하고
누구보다 아껴주던 그대가 보고싶다
가까이에 있어도 다가서지 못했던
그래 내가 미워했었다
점점 멀어져가버린
쓸쓸했던 뒷모습에
내 가슴이 다시 아파온다
서로 사랑을 하고 서로 미워도 하고
누구보다 아껴주던 그대가 보고싶다
가까이에 있어도 다가서지 못했던
그래 내가 미워했었다
제발 내 얘길 들어주세요
시간이 필요해요
서로 사랑을 하고 서로 미워도 하고
누구보다 아껴주던 그대가 보고 싶다
가슴속 깊은 곳에 담아두기만 했던
그래 내가 사랑했었다
긴 시간이 지나도 말하지 못했었던
그래 내가 사랑했었다",아버지에 대한 사랑과 존경을 담은 감동적인 노래,가족과의 관계,관계
가족사진,김진호,"바쁘게 살아온 당신의 젊음에
의미를 더해줄 아이가 생기고
그날에 찍었던 가족사진 속에
설레는 웃음은 빛바래 가지만
어른이 되어서 현실에 던져진
나는 철이 없는 아들이 되어서
이곳저곳에서 깨지고 또 일어서다
외로운 어느 날 꺼내본 사진 속
아빠를 닮아있네
내 젊은 어느새 기울어 갈 때쯤
그제야 보이는 당신의 날들이
가족사진 속에 미소 띤 젊은 우리 엄마
꽃피던 시절은 나에게 다시 돌아와서
나를 꽃피우기 위해 거름이 되어버렸던
그을린 그 시간들을 내가 깨끗이 모아서
오오오오오오오오
당신의 웃음꽃 피우길
피우길
피우길
나를 꽃피우기 위해 거름이 되어버렸던
그을린 그 시간들을 내가 깨끗이 모아서
오오오오오오오오
당신의 웃음꽃 피우길
피우길
피우길
피우길
피우길
피우길",가족과 함께한 시간과 추억을 그리는 서정적인 곡,가족과의 관계,관계
엄마야,나훈아,"﻿엄마야 누나야 강변살자
뜰에는 반짝이는 금모래빛
뒷문 밖에는 갈잎의 노래
엄마야 누나야 강변살자
엄마야 누나야 강변살자
뜰에는 반짝이는 금모래빛
뒷문 밖에는 갈잎의 노래
엄마야 누나야 강변살자",어머니에 대한 그리움과 사랑을 담은 노래,가족과의 관계,관계
내 사랑 내 곁에,김현식,"나의 모든 사랑이 떠나가는 날이
당신의 그 웃음 뒤에서 함께 하는데
철이 없는 욕심에 그 많은 미련에
당신이 있는 건 아닌지 아니겠지요
시간은 멀어 집으로 향해 가는데
약속했던 그대만은 올 줄을 모르고
애써 웃음 지으며 돌아오는 길은
왜 그리도 낯설고 멀기만 한지
저 여린 가지 사이로 혼자인 날 느낄 때
이렇게 아픈 그대 기억이 날까
내 사랑 그대 내 곁에 있어 줘
이 세상 하나뿐인 오직 그대만이
힘겨운 날에 너 마저 떠나면
비틀거릴 내가 안길 곳은 어디에",가족과 함께하는 소중한 시간의 가치를 노래,가족과의 관계,관계
어머님께,지오디(god),"어머니 보고 싶어요
어려서부터 우리 집은 가난했었고
남들 다하는 외식 몇 번 한 적이 없었고
일터에 나가신 어머니 집에 없으면
언제나 혼자서 끓여먹었던 라면
그러다 라면이 너무 지겨워서
맛있는 것 좀 먹자고 대들었었어
그러자 어머님이 마지못해 꺼내신
숨겨두신 비상금으로 시켜주신
짜장면 하나에 너무나 행복했었어
하지만 어머님은 왠지 드시질 않았어
어머님은 짜장면이 싫다고 하셨어
어머님은 짜장면이 싫다고 하셨어
야이야아아 그렇게 살아가고
그렇게 후회하고 눈물도 흘리고
야이야아아 그렇게 살아가고
너무나 아프고 하지만 다시 웃고
중학교 일 학년때 도시락 까먹을 때
다 같이 함께 모여 도시락 뚜껑을 열었는데
부잣집 아들 녀석이 나에게 화를 냈어
반찬이 그게 뭐냐며 나에게 뭐라고 했어
창피해서 그만 눈물이 났어
그러자 그 녀석은 내가 운다며 놀려댔어
참을 수 없어서 얼굴로 날아간 내 주먹에
일터에 계시던 어머님은 또다시 학교에
불려오셨어 아니 또 끌려오셨어
다시는 이런 일이 없을 거라며 비셨어
그 녀석 어머님께 고개를 숙여 비셨어
우리 어머니가 비셨어
야이야아아 그렇게 살아가고
그렇게 후회하고 눈물도 흘리고
야이야아아 그렇게 살아가고
너무나 아프고 하지만 다시 웃고
아버님 없이 마침내 우리는 해냈어
마침내 조그만 식당을 하나 갖게 됐어
그리 크진 않았지만 행복했어
주름진 어머님 눈가에 눈물이 고였어
어머니와 내 이름의 앞 글자를 따서
식당이름을 짓고 고사를 지내고
밤이 깊어가도 아무도 떠날 줄 모르고
사람들의 축하는 계속되었고
자정이 다 돼서야 돌아갔어 피곤하셨는지
어머님은 어느새 깊이 잠이 들어 버리시고는
깨지 않으셨어 다시는
난 당신을 사랑했어요
한 번도 말을 못했지만
사랑해요 이젠 편히 쉬어요
내가 없는 세상에서 영원토록
야이야아아 그렇게 살아가고
그렇게 후회하고 눈물도 흘리고
야이야아아 그렇게 살아가고
너무나 아프고 하지만 다시 웃고
야이야아아 그렇게 살아가고
그렇게 후회하고 눈물도 흘리고
야이야아아 그렇게 살아가고
너무나 아프고 하지만 다시 웃고",어머니에 대한 깊은 사랑과 감사를 표현한 곡,가족과의 관계,관계
아버지와 나 Part1,신해철,"아주 오래전 내가 올려다본
그의 어깨는 까마득한 산처럼 높았다
그는 젊고 정열이 있었고
야심에 불타고 있었다

나에게 그는 세상에서
가장 강한 사람이었다
내 키가 그보다
커진 것을 발견한 어느 날
나는 나 자신에 대해
생각하기 시작했다
그리고 서서히
그가 나처럼 생각하지 않는다는 걸 알았다
이 험한 세상에서
내가 살아 나갈 길은
강자가 되는 것뿐이라고
그는 얘기했다

난, 창공을 날으는
새처럼 살 거라고 생각했다
내 두발로 대지를 박차고 날아올라
내 날개 밑으로 스치는 바람 사이로 세상을 보리라 맹세했다
내 남자로서의 생의 시작은
내 턱 밑의 수염이 나면서가 아니라

내 야망이,
내 자유가 꿈틀거림을 느끼면서
이미 시작되었다고 믿기 때문이다
그러나 그는 대답하지 않았다

저기 걸어가는 사람을 보라
나의 아버지,
혹은 당신의 아버지인가?
가족에게 소외받고,
돈 벌어 오는 자의 비애와
거대한 짐승의 시체처럼 껍질만 남은
권위의 이름을 짊어지고 비틀거린다
집안 어느 곳에서도 지금 그가 앉아 쉴 자리는 없다
이제 더 이상 그를
두려워하지 않는 아내와
다 커버린 자식을 앞에서
무너져가는 모습을
보이지 않기 위한
남은 방법이란 침묵뿐이다
우리의 아버지들은 아직 수줍다
그들은 다정하게 뺨을 부비며
말하는 법을 배운 적이 없었다
그를 흉보던 그 모든 일들을
이제 내가 하고 있다

스폰지에 잉크가 스며들 듯
그의 모습을 닮아 가는 나를 보며,
이미 내가 어른들의
나이가 되었음을 느낀다
그러나 처음 둥지를
떠나는 어린 새처럼
나는 아직도 모든 것이 두렵다
언젠가 내가 가장이 된다는 것
내 아이들의
아버지가 된다는 것이 무섭다

이제야 그 의미를
알기 시작했기 때문이다
그리고 그 누구에게도 그 두려움을
말해선 안된다는 것이 가장 무섭다
이제 당신이 자유롭지 못했던
이유가 바로 나였음을 알 것 같다
이제, 나는 당신을
이해할 수 있다고 생각하지 않는다

그것은 오랜 후에,
당신이 간 뒤에, 내 아들을
바라보게 될 쯤에야 이루어질까
오늘밤 나는 몇 년 만에 골목을 따라
당신을 마중 나갈 것이다
할 말은 길어진
그림자 뒤로 묻어둔 채
우리 두 사람은 세월 속으로
같이 걸어갈 것이다",아버지와의 추억과 소통의 중요성을 담은 노래,가족과의 관계,관계
엄마의 된장국,다이나믹 듀오,"나이는 갓 서른 외제차를 끄는
또래에 비해서
기름값 걱정을 덜하는
주변사람들의 질투가 좀 심해서
높은 연봉에 관해선
언급을 안 하는 그는
과도한 업무에
동창 모임에도 못 가
사치가 좀 심한 여자친군
달달 볶아
야근을 밥 먹듯 아침은 안 먹듯
하며 소화제를 달고 사는
더부룩한 날들
약간의 조증 폐쇄 공포증
혼자 뿐인 넓은 집
냉장고엔 인스턴트 식품
혀 끝에 남은 조미료 맛이
너무 지겨워
그가 간절하게 생각나는 건 바로
어어어어어어 어머니의 된장국
담백하고 맛있는 그 음식이 그리워
그 때 그 식탁으로 돌아가고픈
어어어어어어 어머니의 된장국
담백하고 맛있는 그 음식이 그리워
잠깐의 생각만으로도 배고픈

그의 나이는 이제 오십
한 달이 다 되가
떨어져 사는 가족들의 얼굴을 본지
한때는 돈 푼 꽤나 만졌던 그지만
지금 남은 건
빚 더미와 몸뚱이 뿐이야
집은 보증 잘못 섰다가 날렸지
잘되던 사업은
욕심 부리다 망쳤지
아내와 자식에게 있을 때
못 해준 게 미안해
집에 못 가고 밤낮으로 일하네
배보다 더 휴식이 고픈
삶처럼 밥이 퍽퍽해 물 말아 먹는
오늘도 소주 한 병으로
저녁을 때우는 지친
그에게 필요한 건 바로
어어어어어어 어머니의 된장국
담백하고 맛있는 그 음식이 그리워
그 때 그 식탁으로 돌아가고픈
어어어어어어 어머니의 된장국
담백하고 맛있는 그 음식이 그리워
잠깐의 생각만으로도 배고픈

서른이 되가도 아니 그 후로도
더 더욱 그립기만 하겠죠
하나뿐인 그 맛
어느새 내 혀 끝엔 침이 고여
어어어어어어 어머니의 된장국
담백하고 맛있는 그 음식이 그리워
그 때 그 식탁으로 돌아가고픈
어어어어어어 어머니의 된장국
담백하고 맛있는 그 음식이 그리워
잠깐의 생각만으로도 배고픈

그녀는 나이에 비해서
조금 이르게 부모 품을 떠나
서울로 도망치는데
짧은 가방 끈이
조금 콤플렉스지만
야무진 꿈 하나만큼은 비만
남보다 잠도 덜 자
먼 훗날에 설 자리를 위해서는
몇 푼이라도 더 벌자
즐겨 듣는 음악 dj doc지만
돈 좋아 명예 좋아
못 생겨도 능력있는 남자가 좋아
주위에 남자들은 말발만 좋아
사투리를 아직 못 감추니
직장에선 촌스러운 까투리
외로움을 반찬으로
혼자 먹는 밥은 지겨워
서울의 삶
그리고 간은 좀 싱거워
타향 생활이 너무 힘겨운
그녀에게 필요한 건 바로
어어어어어어 어머니의 된장국
어어어어어어 어머니의 된장국
어어어어어어 어머니의 된장국
어어어어어어
어머니의 된장국이 그리워",어머니의 손맛과 가족의 따뜻함을 노래,가족과의 관계,관계
엄마 아리랑,송가인,"엄마아리랑 아리랑 아리아리랑 아라리요
아들딸아 잘되거라 밤낮으로 기도한다
엄마 아리랑
사랑하는 내 아가야 보고싶다 우리 아가
천년만년 지지 않는 꽃이 피는구나
아 리 랑 아 리 랑
사랑 음 사랑 음 엄마 아리랑
아리아리랑 아라리요 쓰리쓰리랑 아라리요
우리 엄마 사랑은 아리랑 엄마 아리랑
엄마아리랑 아리랑 아리아리랑 아라리요
우리 엄마 무병장수 정성으로 기원하오
엄마 아리랑
사랑하는 내 어머니 보고싶소 울 어머니
서산마루 해가 지고 달이 뜨는구나
아 리 랑 아 리 랑
사랑 음 사랑 음 엄마아리랑
아리아리랑 아라리요 쓰리쓰리랑 아라리요
우리 엄마 사랑은 아리랑 엄마 아리랑
아 리 랑 아 리 랑
사랑 음 사랑 음
엄마 엄마
우리 어머니 아 리 랑
(에야디야 에헤라디야디야
에야디야 에헤라디야디야
에야디야 에헤라디야디야) 엄마 아리랑",어머니에 대한 깊은 사랑과 그리움을 아리랑에 담아 표현,가족과의 관계,관계
아버지 (김경호),박완규,"가슴 깊이 묻어도 바람 한 점에 떨어지는
저 꽃잎처럼 그 이름만 들어도 눈물이 나

돌아갈 수 있을까 날 기다리던 그 곳으로
그 기억 속에 내 맘 속에 새겨진 슬픈 얼굴

커다란 울음으로도 그리움을 달랠 수 없어
불러보고 또 불러 봐도 닿지 않는 저 먼 곳에

빈 메아리 되돌아오며 다 잊으라고 말하지만
나 죽어 다시 태어나도 잊을 수 없는 사람

단 한 번만이라도 볼 수 있다면
나의 두 눈이 먼다해도 난 그래도
그 한 번을 택하고 싶어

묻고 있어도 바람 한 점에 떨어지는
저 꽃잎처럼 그 이름만 들어도 눈물이 나

가슴 깊이 묻어도 바람 한 점에 떨어지는
저 꽃잎처럼 그 이름만 들어도 눈물이 나

떨어진 꽃잎처럼
떨어진 꽃잎처럼",아버지와의 깊은 유대감과 존경의 마음을 담은 노래,가족과의 관계,관계
엄마,라디,"처음 당신을 만났죠
만나자 마자 울었죠
기뻐서 그랬는지
슬퍼서 그랬는지
기억도 나지 않네요
드릴 것이 없었기에
그저 받기만 했죠
그러고도 그땐 고마움을 몰랐죠
아무것도 모르고 살아 왔네요
엄마 이름만 불러도
왜 이렇게 가슴이 아프죠
모든걸 주고 더 주지 못해
아쉬워 하는 당신께
무엇을 드려야 할지
엄마 나의 어머니
왜 이렇게 눈물이 나죠
가장 소중한 누구보다 아름다운
당신의 나의 나의 어머니
힘드셨다는거 이제 알아요
나땜에 많이 우셨죠
그땐 왜 그랬는지
몇번이나 그랬는지
기억도 나지 않네요
내 작은 선물을 너무 감동 마세요
당신은 나에게 세상을 선물 했잖아요
잘 할께요 내가 잘 할께요
엄마 이름만 불러도
왜 이렇게 가슴이 아프죠
모든걸 주고 더 주지 못해
아쉬워 하는 당신께
무엇을 드려야 할지
엄마 나의 어머니
왜 이렇게 눈물이 나죠
가장 소중한 누구보다 아름다운
당신의 나의 나의 어머니
처음 당신의 모습은 기억할 수 없지만
마지막 모습은 죽는 날까지 기억하겠죠
내 모든 맘 다해 사랑합니다
엄마 이름만 불러도
왜 이렇게 가슴이 아프죠
모든걸 주고 더 주지 못해
아쉬워 하는 당신께
무엇을 드려야 할지
엄마 나의 어머니
왜 이렇게 눈물이 나죠
가장 소중한 누구보다 아름다운
당신의 나의 나의 어머니
당신의 나의 나의 어머니",엄마에 대한 애정과 감사의 감정을 따뜻하게 노래,가족과의 관계,관계
부모님 전상서,태성,"아버지 말씀이 틀린게 없어요
물이 흘러가는 데로 살라고 하셨죠
세월이 지나고 어른이 되도록
그 말씀 한번 도 잊은 적 없었지요
사는 게 무언지 사랑이 무언지
복잡하고도 아리송한 요지경이라
때로는 맞는 것이 틀릴 때가
틀린 것도 맞을 때가
너무도 많아서 헷갈렸어요
주름진 미소가 생각나네요
그때마다 아버지 말씀이
내 눈물 닦아줬어요
어머님 말씀이 틀린 게 없어요
바람 불어가는 데로 살라고 하셨죠
세월이 지나고 어른이 되도록
그 말씀 한번 도 잊은 적 없었지요
사는 게 무언지 사랑이 무언지
복잡하고도 아리송한 요지경이라
때로는 맞는 것이 틀릴 때가
틀린 것도 맞을 때가
너무도 많아서 헷갈렸어요
포근한 미소가 생각나네요
그때마다 어머님 말씀이
내 눈물 닦아줬어요
그때마다 부모님 말씀이
내 눈물 닦아줬어요",부모님에 대한 사랑과 존경을 감성적으로 묘사한 곡,가족과의 관계,관계
꽃밭에서,정훈희,"꽃밭에 앉아서 꽃잎을 보네
고운빛은 어디에서 났을까
아름다운 꽃이여 꽃이여

이렇게 좋은 날에 이렇게 좋은 날에
그 님이 오신다면 얼마나 좋을까 아

꽃밭에 앉아서 꽃잎을 보네
고운빛은 어디에서 왔을까
아름다운 꽃송이

이렇게 좋은 날에 이렇게 좋은 날에
그 님이 오신다면 얼마나 좋을까 아

꽃밭에 앉아서 꽃잎을 보네
고운빛은 어디에서 왔을까
아름다운 꽃송이",가족과의 행복한 시간을 아름다운 꽃밭에 비유한 노래,가족과의 관계,관계
Way Back Home,숀,"멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
아무리 힘껏 닫아도
다시 열린 서랍 같아
하늘로 높이 날린 넌
자꾸 내게 되돌아와
힘들게 삼킨 이별도
다 그대로인 걸
oh oh oh
수없이 떠난 길 위에서
난 너를 발견하고
비우려 했던 맘은 또
이렇게 너로 차올라
발걸음의 끝에
늘 니가 부딪혀
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
조용히 잠든 방을 열어
기억을 꺼내 들어
부서진 시간 위에서
선명히 너는 떠올라
길 잃은 맘 속에
널 가둔 채 살아
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
세상을 뒤집어
찾으려 해
오직 너로 완결된
이야기를
모든 걸 잃어도
난 너 하나면 돼
빛이 다 꺼진 여기
나를 안아줘
눈을 감으면
소리 없이 밀려와
이 마음 그 위로
넌 또 한 겹 쌓여가
내겐 그 누구도 아닌
니가 필요해
돌아와 내 곁에
그날까지
I’m not done",그리운 이에게 돌아가는 길에 대한 감정을 표현한 EDM 곡,감정,개인
어떻게 지내,오반,"어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you
i need you
i still need you
i need you
시간이 필요했어 우린 정말 사랑했지만
가살 쓰는 법도 잊어버리게 됐지 난
넌 헤어지면 우리 노랠 제발 내지 말아
달라 했지만 못 들어줘 미안
나는 하루 종일 누워 있었어
불면이 심해져서 안 피곤한 날이 없어
가끔은 문 밖에서 누가 문을 두드려
그건 환상인데도 나는 두려워
다시 눈 뜨면 니가 있을까
그럼 무서운 표정을 지을까
아니면 어떤 대화를 나누고 싶어질 수도
있어 그때처럼
대체 왜 보고싶지 남겨진 상처 대신
남은 건 혼자 돼버린 역시 너와 나겠지
난 아직 낯설기만 해 넌 어때
더 지독해 지기 전에 잊어볼게
어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you
i need you
i still need you
i need you
월요일에 병원을 예약했어
너 없이 사는게 힘들었나봐
하루도 빼지 않고 사람을 만나
너도 알겠지만 오봉이도 데려 왔어
너무 그리워하지 않더라 예범이는
난 약을 먹었지만 아닐거야 별일은
자전거를 타고 어디론가 가려하면
다 너와 간 곳 뿐인게 좀 그럴 뿐야
여기저기에 핑계를 대 불면증 습관이 돼
너가 아닌 사람에게 널 원하고
흉터가 된 상처는 더 이상
아프지가 않잖아
그래서 널 그리나봐 이젠 눈물이 나와
널 다치게 하지 않을 순 없었을까
만약 나 때문이었다면 다 나 때문이면
어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you
i need you
i still need you
i need you
널 이렇게 망가지게 한 게
나인 건 아닐까
내가 이렇게 망가지다니
대체 왜 병원에 다닐까
널 이렇게 망가지게 한 게
나인 건 아닐까
내가 이렇게 망가지다니
대체 왜 병원에 다닐까",이별 후에도 상대방을 걱정하며 지내는 마음을 표현한 곡,감정,개인
이름에게,아이유,"꿈에서도 그리운 목소리는
이름 불러도 대답을 하지 않아
글썽이는 그 메아리만 돌아와
그 소리를 나 혼자서 들어
깨어질 듯이 차가워도
이번에는 결코 놓지 않을게
아득히 멀어진 그날의 두 손을
끝없이 길었던
짙고 어두운 밤 사이로
조용히 사라진 네 소원을 알아
오래 기다릴게
반드시 너를 찾을게
보이지 않도록 멀어도
가자 이 새벽이 끝나는 곳으로
어김없이 내 앞에 선 그 아이는
고개 숙여도 기어이 울지 않아
안쓰러워 손을 뻗으면 달아나
텅 빈 허공을 나 혼자 껴안아
에어질 듯이 아파와도
이번에는 결코 잊지 않을게
한참을 외로이 기다린 그 말을
끝없이 길었던
짙고 어두운 밤 사이로
영원히 사라진 네 소원을 알아
오래 기다릴게
반드시 너를 찾을게
보이지 않도록 멀어도
가자 이 새벽이 끝나는 곳
수없이 잃었던
춥고 모진 날 사이로
조용히 잊혀진 네 이름을 알아
멈추지 않을게
몇 번이라도 외칠게
믿을 수 없도록 멀어도
가자 이 새벽이 끝나는 곳으로",사랑하는 이에게 전하는 편지처럼 따스하고 감미로운 발라드,감정,개인
환상동화,아이즈원,"Swan 우아하게
Like Swan Swan Swan
Like Swan Swan Swan (MAMA)

들어볼래 동화 속에 나올 법한 얘기
우리 둘이 둘이 둘이
만든 비밀 비밀 비밀

담아둘래 두 눈 속에 너로 가득해진
작은 세계 세계 세계
그 문이 열리게

날 향한 눈빛에 나 나
점점 더 빠져 들어가
너의 손끝에서 시작되는 걸 Fairy tale

상상했던 모든 순간들이
눈앞에 다가올 그때까지
너를 위한 춤을 춰
우아하게

Like Swan Swan Swan
너의 마법에 난 깨어나
Like Swan Swan Swan (MAMA)
우아하게
꿈을 꿔 Baby
With You With You With You
춤을 춰 Baby 너를 위해서 Yeah
Like Swan Swan Swan (MAMA)
너와 함께

지금 여긴 어지러워
모두가 날 다 비웃어도
너와 같은 꿈을 꾸는 꿈 꿀래
우리 바라왔던 곳으로 갈래

Don't be afraid
여긴 슬픈 엔딩은 없어 (Oh Anyway)
이 시간이 영원할 거라고 믿어

반짝이는 너의 맘 맘
그 빛이 나를 따라와
나의 이야기 속 주인공처럼 Fly away

상상했던 모든 순간들이
눈앞에 다가올 그때까지
너를 위한 춤을 춰
우아하게

Like Swan Swan Swan
너의 마법에 난 깨어나
Like Swan Swan Swan (MAMA)
우아하게
꿈을 꿔 Baby
With You With You With You
춤을 춰 Baby 너를 위해서 Yeah
Like Swan Swan Swan (MAMA)
너와 함께

내 눈 앞에 펼쳐진 Paradise
더 새로워진 상상으로 채워가
(Woo) 지금 이 순간이 영원하기를 바라

Swan Swan Swan
Swan Swan Swan Yeah

너를 위한 춤을 춰
우아하게

Like Swan Swan Swan
Like Swan Swan Swan (MAMA)
우아하게
꿈을 꿔 Baby
With You With You With You
춤을 춰 Baby 너를 위해서 Yeah
Like Swan Swan Swan (MAMA)
너와 함께",비밀스러운 동화 속에서 펼쳐지는 사랑의 이야기,감정,개인
으르렁,EXO,"Yo Okay
나 혹시 몰라 경고하는데
잘 들어
지금 위험해
So Dangerous
자꾸 나를 자극하지마
큰일 나
나도 날 몰라
숨이 자꾸 멎는다
네가 날 향해 걸어온다
나를 보며 웃는다
너도 내게 끌리는지
눈앞이 다 캄캄해
네가 뚫어져라 쳐다볼 땐
귓가에 가까워진 숨소리
날 미치게 만드는 너인걸
아무도 널 못 보게
품에 감추고 싶어
널 노리는 시선들
내 안에 일어난 거센 소용돌이
검은 그림자 내 안에 깨어나
널 보는 두 눈에 불꽃이 튄다
그녀 곁에서 모두 다 물러나
이젠 조금씩 사나워진다
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
너 물러서지 않으면 다쳐도 몰라
날이 선 눈빛과 베일듯한 긴장감
지금 탐색 중이야 너의 주위를
Babe Babe Oh
넌 그냥 그대로 있어
나만을 바라보면서
절대 널 보내지 않아
두고 봐 Babe
흐린 공간속에서
선명하게 빛나는
널 노리는 시선들
내 안에 울리는 경보 울림소리
검은 그림자 내 안에 깨어나
널 보는 두 눈에 불꽃이 튄다
그녀 곁에서 모두 다 물러나
이젠 조금씩 사나워진다
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
너 물러서지 않으면 다쳐도 몰라
E X O 또 다른 늑대들이 볼세라
너무나 완벽한 내 여자라
품속엔 부드럽게 너를 안고
너만을 위해서 나는 난폭해지고
결국엔 강한 자가 얻게 되는 미인
자리가 없으니까 그냥 돌아가
I win
가능성 제로야 닳으니까 그만 봐
그녀를 넘본다면 나를 먼저 넘어봐
우리 말곤 하나둘씩 지워버리자
너하고 나만 여기 남아
멈춰진 듯이 워
검은 그림자 내 안에 깨어나
널 보는 두 눈에 불꽃이 튄다
그녀 곁에서 모두 다 물러나
이젠 조금씩 사나워진다
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
너 물러서지 않으면 다쳐도 몰라
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
나 으르렁 으르렁 으르렁 대
너 물러서지 않으면 다쳐도 몰라","사랑스런 소년들의 자신감 넘치는 사랑 노래로, 고백을 향한 열망을 담은 곡",감정,개인
